# Page 197 Column 1
s(t	street
s(tr	strength
s(trn	strengthen
s(trn-d	strengthened
s(trenuus	strenuous
strech	stretch
streche~	stretcher
!	strew
!	strewn
!	striate
!	striated
!	striation
s(trk	strict
!	stricter

# Page 218 Column 1
!	strictest
!	strictly
strkt-n	strictness
!	stricture
stri	stride
stridn	strident
strif	strife
s(tri	strike
!	striker
s(trok	stroke
s(trk	struck
s(treng	string
!	stringed
!	stringier
!	stringiest
!	stringy
strng	strung
strenjnt	stringent
!	stringency
strip	stripe
striv	strive
!	striven
!	strove
strol	stroll
!	strolled

# Page 218 Column 2
!	stroller
s(tr	strong
s(tr	strength
s(trr	stronger
s(trs(t	strongest
strl	stronghold
s(tre	strongly
!	strong-minded
!	strontium
strktr	structure
strktrl	structural
strktrle	structurally
s(trg	struggle
!	struggler
s(trm	strum
!	strummed
!	strut
!	strutted
!	stub
stb	stubble
stube~n	stubborn
stube~nnes	stubbornness
stuko	stucco
stud	stud
s(tde	study

# Page 218 Column 3
s(tutn	student
s(tded	studied
stdeo	studio
stdus	studious
s(tuf	stuff
!	stuffier
!	stuffiest
stufen	stuffiness
!	stuffy
stultef	stultify
!	stultification
st-mb	stumble
st-mp	stump
s(t-n	stun
s(t-n^t	stunned
!	stunner
s(tnt	stunt
!	stunted
stpf	stupefy
!	stupefacient
stpfaksh	stupefaction
stpr	stupor
stpnd	stupendous
stupd	stupid
stupdte	stupidity

# Page 219 Column 1
!	stupidly
ste~de	sturdy
!	sturdily
ste~den	sturdiness
