# Page 181 Column 1
revns	reverence
rev	reverend
!	reverent
revnsh	reverential
!	reverently

# Page 193 Column 1
!	reverie
rves	reverse
rvesl	reversal
rves-s	reverses
rvesb	reversible
rve~sh	reversion
!	reversionary
rve~t	revert
rve~tb	revertible
!	revetment
!	revictual
rveu	review
rveud	reviewed
rveur	reviewer
rvil	revile
!	reviled
!	revilement
rvis(	revise
!	reviser
rvesh	revision
rves(et	revisit
!	revitalize
vitlesh	vitalization
!	revive
rvi^l	revival

# Page 193 Column 2
!	revivification
rvevf	revivify
se~vi	survive
rvk	revoke
ervkb	irrevocable
rvkb	revocable
rvkz	revocation
rvolt	revolt
rvol	revolve
rvolsh	revolution
rvolshre	revolutionary
!	revolutionist
rvolshis	revolutionize
rvolv	revolver
rvlsh	revulsion
!	revulsive
re^d	reward
re^d-d	rewarded
rri	rewrite
rapsde	rhapsody
!	rhapsodic
!	rhapsodist
rapsdiz	rhapsodize
!	rheostat
retrk	rhetoric

# Page 193 Column 3
retor^k	rhetorical
retresh	rhetorician
rumats(m	rheumatism
rum^a	rheumatic
!	rheumatoid
rinston	rhinestone
!	rhinitis
rinos	rhinoceros
rbrb	rhubarb
rethm	rhythm
rethmk	rhythmic
rethm^k	rhythmical
!	ribald
!	ribaldry
!	ribband
rebn	ribbon
rech	rich
nrech	enrich
!	richer
rechs	riches
!	richest
!	richly
rechn	richness
rid	ride
!	ridden

# Page 194 Column 1
ride~	rider
!	riderless
redek	ridicule
redek	ridiculous
!	riffraff
rifl	rifle
!	rifled
!	rifleman
ri	right
!	right-angled
richus	righteous
richusnes	righteousness
rif	rightful
!	right-hand
ra&e	rightly
rines	rightness
rejd	rigid
rejdte	rigidity
!	rigidly
regr	rigor
regrus	rigorous
reng	ring
!	ringbolt
!	ringbone
!	ringed

# Page 194 Column 2
!	ringer
!	ringleader
renglet	ringlet
!	ringmaster
ra&et	riot
!	rioted
ra&etus	riotous
reparn	riparian
rip	ripe
ripn	ripen
ripnd	ripened
ripnes	ripeness
!	riper
!	ripest
repl	ripple
!	ripsaw
ris	rise
!	arises
resn	risen
resb	risible
res^b	risibility
res(k	risk
!	rite
retl	ritual
!	ritualistic

# Page 194 Column 3
!	ritually
riv	rival
rivre	rivalry
rev	river
!	riverside
revet	rivet
!	road
!	roadbed
!	roadstead
rodste~	roadster
roda_	roadway
rom	roam
!	roamed
!	roamer
rost	roast
!	roaster
robn	robin
robus	robust
rodn-t	rodent
!	rodman
rog	rogue
rogre	roguery
rogesh	roguish
!	roguishly
!	Roman

# Page 195 Column 1
romns	romance
romnt	romantic
romntsm	romanticism
!	rondeau
rukre	rookery
rm	room
!	roomer
!	roomful
!	roommate
rme	roomy
rosare	rosary
rot	rot
rotn	rotten
!	rottenness
rota	rotate
rotre	rotary
rotash	rotation
!	rotative
!	rotator
!	rotatory
!	rotor
!	rotund
rot-nda	rotunda
!	rotundity
rush,	rouge

# Page 195 Column 2
ruf	rough
!	roughcast
!	roughdry
rufn	roughen
!	rougher
!	roughest
!	roughhew
!	roughly
rufnes	roughness
rulet	roulette
rnt	round
!	roundhouse
rnde	roundly
rnd-n	roundness
!	roundsman
raot	rout
rut	route
rutd	routed
ruten	routine
roel	royal
!	royalism
!	royally
roe^l	royalty
rub	rub
rubr	rubber

# Page 195 Column 3
!	rubberize
!	rubbery
rubesh	rubbish
rbknd	rubicund
!	ruble
!	ruddy
!	ruddily
!	ruddiness
!	rude
!	rudely
!	rudeness
!	ruder
rudem	rudiment
!	rudimental
rudemre	rudimentary
ruf	rueful
rufa&'n	ruffian
rufl	ruffle
!	ruffled
run	ruin
!	ruination
runt	ruined
runus	ruinous
rl	rule
rl-d	ruled

# Page 196 Column 1
rlr	ruler
rmb	rumble
rumnat	ruminate
!	ruminant
rumnsh	rumination
!	ruminative
rmj	rummage
rumr	rumor

# Page 196 Column 2
rmp	rumple
!	rumpus
rnr	runner
!	rupture
rrl	rural
!	ruralize
!	rurally
rsh	rush

# Page 196 Column 3
!	rushed
ruset	russet
!	rust
r^st	rustic
!	rusticate
rust^s)	rusticity
!	ruthenium
ru'l	ruthless

