nt^tv	intransitive
na^st	intrastate
n^nchm	intrenchment
n^pd	intrepid
n^pdte	intrepidity
n^k	intricate
es^kat	extricate
n^kse	intricacy
n^g	intrigue
n^n-sk	intrinsic
es^n-sk	extrinsic
n^dus	introduce
n^duksh	introduction
n^dukre	introductory
n^et	introit
n^sp	introspect
n^spsh	introspection
n^sp^v	introspective
n^ve~t	introvert
n^versh	introversion
n^d	intrude
n^de~	intruder
n^sh	intrusion
	
# Page 115 Column 2	
n^sv	intrusive
ntrs	intrust
nteush	intuition
nteutv	intuitive
enunk	inunction
n-n-dt	inundate
n-n-dsh	inundation
enur	inure
nvad	invade
nvash	invasion
nvaled	invalid
nvaledt	invalidate
nvaledsh	invalidation
nvaledte	invalidity
nvlb	invaluable
nvar	invar
nvarb	invariable
nvar^b	invariability
nva	inveigh
nvekv	invective
nvegl	inveigle
nvnt	invent
nvnsh	invention
nvntv	inventive
nvntr	inventor
	
# Page 115 Column 3	
nvntre	inventory
nves	inverse
nverssh	inversion
nve~t	invert
nve~td	inverted
nves	invest
nves^t	invested
nvesm	investment
nves^r	investor
nves-s	invests
rnves	reinvest
nvesg	investigate
nvesgsh	investigation
nvesgv	investigative
nvesg^r	investigator
nvetra	inveterate
nvedus	invidious
nvegra	invigorate
nvegrash	invigoration
nvens	invincible
nvens^b	invincibility
nvilb	inviolable
nvil^b	inviolability
nvila	inviolate
nvesb	invisible
	
# Page 116 Column 1	
nves^b	invisibility
nvi	invite
nvatsh	invitation
n-nvi^t	uninvited
nvs	invoice
nvss	invoices
nvk	invoke
nvkash	invocation
nvolntre	involuntary
nvolntre|	involuntarily
nvolut	involute
nvolsh	involution
nvol	involve
nvulnerb	invulnerable
nvulner^b	invulnerability
n^d	inward
n^de	inwardly
n^d-nes	inwardness
a&edn	iodine
a&eda	iodate
a&edek	iodic
a&edi	iodide
a&ediz	iodize
in	ion
inezash	ionization
	
# Page 116 Column 2	
iniz	ionize
a&enek	Ionic
a&eta	iota
epkak	ipecac
irat	irate
iras^b	irascibility
irasb	irascible
ires	iris
eredesns	iridescence
eredesnt	iridescent
eredm	iridium
erk	irk
erksm	irksome
irn	iron
flatirn	flatiron
irn-klad	ironclad
irnsi	ironside
irna~_	ironware
irnuud	ironwood
irnrk	ironwork
irne	irony
irn^k	ironical
erada&'t	irradiate
erada&'sh	irradiation
erashl	irrational
	
# Page 116 Column 3	
erasha|	irrationally
ere^mb	irreclaimable
erksilb	irreconcilable
erekv^b	irrecoverable
eredmb	irredeemable
erfrag	irrefragable
erfranj	irrefrangible
erfeutb	irrefutable
ereg	irregular
ereg^r	irregularity
erelvnt	irrelevant
erelejus	irreligious
eremdb	irremediable
eremu^b	irremovable
erparb	irreparable
erplasb	irreplaceable
erpresb	irrepressible
erprchb	irreproachable
erss^b	irresistible
erss^b	irresistibility
ersolb	irresoluble
ersolut	irresolute
ersolsh	irresolution
eres^v	irrespective
ersp	irresponsible
	
# Page 117 Column 1	
ersp^b	irresponsibility
eretrasb	irretraceable
er^vb	irretrievable
erev	irreverent
erev	irreverence
ervesb	irreversible
ervkb	irrevocable
ereg	irrigate
eregsh	irrigation
e~ta	irritate
e~t^b	irritability
e~tb	irritable
e~t-nt	irritant
e~tsh	irritation
	
# Page 117 Column 2	
e~ta^v	irritative
erpsh	irruption
isnglas	isinglass
eslam	Islam
iland	island
isobar	isobar
isola	isolate
isolash	isolation
isomerk	isomeric
isothem	isotherm
eshu	issue
eshuns	issuance
reshu	reissue
uneshud	unissued
	
# Page 117 Column 3	
esmus	isthmus
etale	Italy
etaln	Italian
eche	itchy
atm	item
atmiz	itemize
atnra	itinerate
atnranse	itinerancy
atnrant	itinerant
atnrre	itinerary
ts	its
tss	itself
ivre	ivory
ive	ivy
